"","cste","Haar0.007","Haar0.015","Haar0.023","Haar0.031","Haar0.039","Haar0.046","Haar0.054","Haar0.062","Haar0.07","Haar0.078","Haar0.085","Haar0.093","Haar0.101","Haar0.109","Haar0.117","Haar0.125","Haar0.132","Haar0.14","Haar0.148","Haar0.156","Haar0.164","Haar0.171","Haar0.179","Haar0.187","Haar0.195","Haar0.203","Haar0.21","Haar0.218","Haar0.226","Haar0.234","Haar0.242","Haar0.25","Haar0.257","Haar0.265","Haar0.273","Haar0.281","Haar0.289","Haar0.296","Haar0.304","Haar0.312","Haar0.32","Haar0.328","Haar0.335","Haar0.343","Haar0.351","Haar0.359","Haar0.367","Haar0.375","Haar0.382","Haar0.39","Haar0.398","Haar0.406","Haar0.414","Haar0.421","Haar0.437","Haar0.445","Haar0.453","Haar0.46","Haar0.468","Haar0.476","Haar0.484","Haar0.492","Haar0.5","Haar0.507","Haar0.515","Haar0.523","Haar0.531","Haar0.539","Haar0.546","Haar0.554","Haar0.562","Haar0.57","Haar0.578","Haar0.585","Haar0.593","Haar0.601","Haar0.609","Haar0.617","Haar0.625","Haar0.632","Haar0.64","Haar0.648","Haar0.671","Haar0.679","Haar0.687","Haar0.695","Haar0.703","Haar0.71","Haar0.718","Haar0.726","Haar0.734","Haar0.742","Haar0.75","Haar0.757","Haar0.765","Haar0.773","Haar0.781","Haar0.789","Haar0.804","Haar0.812","Haar0.835","Haar0.843","Haar0.851","Haar0.859","Haar0.867","Haar0.875","Haar0.882","Haar0.89","Haar0.898","Haar0.906","Haar0.914","Haar0.921","Haar0.929","Haar0.937","Haar0.945","Haar0.953","Haar0.96","Haar0.968","Haar0.976","Haar0.984","Haar0.992","Haar1","sin(2pi*1posx)","cos(2pi1posx)","sin(2pi*2posx)","cos(2pi2posx)","sin(2pi*3posx)","cos(2pi3posx)","sin(2pi*4posx)","cos(2pi4posx)","sin(2pi*5posx)","cos(2pi5posx)","sin(2pi*6posx)","cos(2pi6posx)","sin(2pi*7posx)","cos(2pi7posx)","sin(2pi*8posx)","cos(2pi8posx)","sin(2pi*9posx)","cos(2pi9posx)","sin(2pi*10posx)","cos(2pi10posx)","bspl3.1","bspl3.2","bspl3.3","bspl3.4","bspl3.5","bspl3.6","bspl3.7","bspl3.8","bspl3.9","bspl3.10","bspl3.11","bspl3.12","bspl3.13","bspl3.14","x","xx"
"1",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00599536991015779,0.999982027608317,0.011990524318043,0.999928111079281,0.0179852477291291,0.99983825235091,0.0239793246643818,0.999712454653157,0.0299725396680041,0.999550722507792,0.0359646773151812,0.999353061728244,0.0419555222198233,0.999119479419385,0.0479448590423081,0.99884998397728,0.0539324724972212,0.998544585088886,0.059918147361094,0.9982032937317,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000954198473282443,9.10494726414545e-07
"2",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011990524318043,0.999928111079281,0.0239793246643818,0.999712454653157,0.0359646773151812,0.999353061728244,0.0479448590423081,0.99884998397728,0.059918147361094,0.9982032937317,0.0718828207779892,0.99741308397123,0.0838371590380765,0.996479468310524,0.0957794433724049,0.995402580982826,0.107707956745111,0.994182576820673,0.119620984100291,0.992819631233628,0.984824068362143,0.0151378331563923,3.80984814645056e-05,0,0,0,0,0,0,0,0,0,0,0,0.00190839694656489,3.64197890565818e-06
"3",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0179852477291291,0.99983825235091,0.0359646773151812,0.999353061728244,0.0539324724972212,0.998544585088886,0.0718828207779892,0.99741308397123,0.0898099153042156,0.995958924410565,0.107707956745111,0.994182576820673,0.125571155168423,0.992084615841647,0.143393731913451,0.989665720153999,0.161169921460416,0.986926672259111,0.178893973295581,0.983868358226099,0.969764173339759,0.0300834327343832,0.000152393925858023,0,0,0,0,0,0,0,0,0,0,0,0.00286259541984733,8.1944525377309e-06
"4",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0239793246643818,0.999712454653157,0.0479448590423081,0.99884998397728,0.0718828207779892,0.99741308397123,0.0957794433724049,0.995402580982826,0.119620984100291,0.992819631233628,0.143393731913451,0.989665720153999,0.167084015325855,0.985942661528849,0.190678210275981,0.981652596454545,0.214162747961888,0.976797992107587,0.237524122644509,0.971381640325756,0.954820314932847,0.0448367987339727,0.000342886333180551,0,0,0,0,0,0,0,0,0,0,0,0.00381679389312977,1.45679156226327e-05
"5",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0299725396680041,0.999550722507792,0.059918147361094,0.9982032937317,0.0898099153042156,0.995958924410565,0.119620984100291,0.992819631233628,0.149324566864862,0.988788235028422,0.178893973295581,0.983868358226099,0.208302633654914,0.978064421606484,0.237524122644509,0.971381640325756,0.266532183149783,0.963826019230344,0.295300749833381,0.955404347461243,0.939992493141407,0.0593979311551607,0.00060957570343209,0,0,0,0,0,0,0,0,0,0,0,0.00477099236641221,2.27623681603636e-05
"6",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0359646773151812,0.999353061728244,0.0718828207779892,0.99741308397123,0.107707956745111,0.994182576820673,0.143393731913451,0.989665720153999,0.178893973295581,0.983868358226099,0.214162747961888,0.976797992107587,0.249154422472113,0.968463769979336,0.28382372191939,0.958876475295867,0.318125788510382,0.948048512832887,0.352016239605734,0.93599389263704,0.92528070796544,0.0737668299979473,0.000952462036612641,0,0,0,0,0,0,0,0,0,0,0,0.00572519083969466,3.27778101509236e-05
"7",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0419555222198233,0.999119479419385,0.0838371590380765,0.996479468310524,0.125571155168423,0.992084615841647,0.167084015325855,0.985942661528849,0.208302633654914,0.978064421606484,0.249154422472113,0.968463769979336,0.289567440095837,0.957157613790092,0.3294705175386,0.944165863645179,0.368793383838565,0.929511398551358,0.407466789809601,0.913220025624854,0.910684959404945,0.0879434952623325,0.0013715453327222,0,0,0,0,0,0,0,0,0,0,0,0.0066793893129771,4.46142415943127e-05
"8",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0479448590423081,0.99884998397728,0.0957794433724049,0.995402580982826,0.143393731913451,0.989665720153999,0.190678210275981,0.981652596454545,0.237524122644509,0.971381640325756,0.28382372191939,0.958876475295867,0.3294705175386,0.944165863645179,0.374359520409444,0.927283640251898,0.418387484386831,0.908268634770825,0.461453143742718,0.887164582323913,0.896205247459923,0.101927926948316,0.00186682559176078,0,0,0,0,0,0,0,0,0,0,0,0.00763358778625954,5.82716624905308e-05
"9",1,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0539324724972212,0.998544585088886,0.107707956745111,0.994182576820673,0.161169921460416,0.986926672259111,0.214162747961888,0.976797992107587,0.266532183149783,0.963826019230344,0.318125788510382,0.948048512832887,0.368793383838565,0.929511398551358,0.418387484386831,0.908268634770825,0.466763730168298,0.884382055561609,0.513781306164056,0.857921190690821,0.881841572130373,0.115720125055899,0.00243830281372836,0,0,0,0,0,0,0,0,0,0,0,0.00858778625954199,7.37500728395781e-05
"10",1,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059918147361094,0.9982032937317,0.119620984100291,0.992819631233628,0.178893973295581,0.983868358226099,0.237524122644509,0.971381640325756,0.295300749833381,0.955404347461243,0.352016239605734,0.93599389263704,0.407466789809601,0.913220025624854,0.461453143742718,0.887164582323913,0.513781306164056,0.857921190690821,0.564263240398754,0.825594934295686,0.867593933416295,0.129320089585079,0.00308597699862496,0,0,0,0,0,0,0,0,0,0,0,0.00954198473282443,9.10494726414545e-05
