"","cste","Haar0.007","Haar0.015","Haar0.023","Haar0.031","Haar0.039","Haar0.046","Haar0.054","Haar0.062","Haar0.07","Haar0.078","Haar0.085","Haar0.093","Haar0.101","Haar0.109","Haar0.117","Haar0.125","Haar0.132","Haar0.14","Haar0.148","Haar0.156","Haar0.164","Haar0.171","Haar0.179","Haar0.187","Haar0.195","Haar0.203","Haar0.21","Haar0.218","Haar0.226","Haar0.234","Haar0.242","Haar0.25","Haar0.257","Haar0.265","Haar0.273","Haar0.281","Haar0.289","Haar0.296","Haar0.304","Haar0.312","Haar0.32","Haar0.328","Haar0.335","Haar0.343","Haar0.351","Haar0.359","Haar0.367","Haar0.375","Haar0.382","Haar0.39","Haar0.398","Haar0.406","Haar0.414","Haar0.421","Haar0.429","Haar0.437","Haar0.445","Haar0.453","Haar0.46","Haar0.468","Haar0.476","Haar0.484","Haar0.492","Haar0.5","Haar0.507","Haar0.515","Haar0.523","Haar0.531","Haar0.539","Haar0.546","Haar0.554","Haar0.562","Haar0.57","Haar0.578","Haar0.585","Haar0.593","Haar0.601","Haar0.609","Haar0.617","Haar0.625","Haar0.632","Haar0.64","Haar0.648","Haar0.656","Haar0.664","Haar0.671","Haar0.679","Haar0.687","Haar0.695","Haar0.703","Haar0.71","Haar0.718","Haar0.726","Haar0.734","Haar0.742","Haar0.75","Haar0.757","Haar0.765","Haar0.773","Haar0.781","Haar0.789","Haar0.796","Haar0.804","Haar0.812","Haar0.82","Haar0.828","Haar0.835","Haar0.843","Haar0.851","Haar0.859","Haar0.867","Haar0.875","Haar0.882","Haar0.89","Haar0.898","Haar0.906","Haar0.914","Haar0.921","Haar0.929","Haar0.937","Haar0.945","Haar0.953","Haar0.96","Haar0.968","Haar0.976","Haar0.984","Haar0.992","Haar1","sin(2pi*1posx)","cos(2pi1posx)","sin(2pi*2posx)","cos(2pi2posx)","sin(2pi*3posx)","cos(2pi3posx)","sin(2pi*4posx)","cos(2pi4posx)","sin(2pi*5posx)","cos(2pi5posx)","sin(2pi*6posx)","cos(2pi6posx)","sin(2pi*7posx)","cos(2pi7posx)","sin(2pi*8posx)","cos(2pi8posx)","sin(2pi*9posx)","cos(2pi9posx)","sin(2pi*10posx)","cos(2pi10posx)","bspl3.1","bspl3.2","bspl3.3","bspl3.4","bspl3.5","bspl3.6","bspl3.7","bspl3.8","bspl3.9","bspl3.10","bspl3.11","bspl3.12","bspl3.13","bspl3.14","x","xx"
"1",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00573280190756664,0.999983567356128,0.011465415404949,0.999934269964577,0.017197652088155,0.999852109445519,0.0229293235655766,0.999737088499184,0.0286602414641815,0.999589210905767,0.0343902174357038,0.99940848152531,0.0401190631628346,0.999194906297533,0.0458465903654106,0.99894849224165,0.0515726108066021,0.998669247456129,0.0572969362990999,0.99835718111843,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000912408759124088,8.32489743726357e-07
"2",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011465415404949,0.999934269964577,0.0229293235655766,0.999737088499184,0.0343902174357038,0.99940848152531,0.0458465903654106,0.99894849224165,0.0572969362990999,0.99835718111843,0.068739749973484,0.99763462588945,0.0801735271154668,0.996780921541873,0.091596764639895,0.995796180303733,0.103007960847154,0.994680531629181,0.114405615620583,0.993434122181474,0.987255478409541,0.0127172772321956,2.72443582633112e-05,0,0,0,0,0,0,0,0,0,0,0,0.00182481751824818,3.32995897490543e-06
"3",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017197652088155,0.999852109445519,0.0343902174357039,0.99940848152531,0.0515726108066022,0.998669247456129,0.068739749973484,0.99763462588945,0.085886557220889,0.996304922846787,0.103007960847154,0.994680531629181,0.120098896664528,0.992761932700868,0.137154309497062,0.990549693547166,0.154169154675834,0.988044468506625,0.171138399531068,0.985246998577486,0.974592689893872,0.0252983326730747,0.000108977433053245,0,0,0,0,0,0,0,0,0,0,0,0.00273722627737226,7.49240769353722e-06
"4",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229293235655766,0.999737088499184,0.0458465903654106,0.99894849224165,0.068739749973484,0.99763462588945,0.091596764639895,0.995796180303733,0.114405615620583,0.993434122181474,0.137154309497062,0.990549693547166,0.159830884482835,0.987144411099731,0.182423416713175,0.983220065415007,0.204920026514971,0.978778720004222,0.22730888465333,0.973822710228951,0.962011634452993,0.0377431663226371,0.0002451992243698,0,0,0,0,0,0,0,0,0,0,0,0.00364963503649635,1.33198358996217e-05
"5",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0286602414641815,0.999589210905767,0.0572969362990999,0.99835718111843,0.085886557220889,0.996304922846787,0.114405615620583,0.993434122181474,0.142830680861845,0.989747137709699,0.171138399531068,0.985246998577486,0.199305514624027,0.979937402000991,0.22730888465333,0.973822710228951,0.255125502660958,0.966907946958754,0.282732515120278,0.959198793209083,0.949512312086904,0.0500517781808831,0.000435909732212979,0,0,0,0,0,0,0,0,0,0,0,0.00456204379562044,2.08122435931589e-05
"6",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0343902174357039,0.99940848152531,0.068739749973484,0.99763462588945,0.103007960847154,0.994680531629181,0.137154309497062,0.990549693547166,0.171138399531068,0.985246998577486,0.204920026514971,0.978778720004222,0.238459225535838,0.971152510039926,0.271716318481976,0.962377390772768,0.3046519609836,0.952463743493078,0.337227188958679,0.941423296411889,0.937094722795605,0.0622241682478125,0.000681108956582779,0,0,0,0,0,0,0,0,0,0,0,0.00547445255474453,2.99696307741489e-05
"7",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0401190631628346,0.999194906297533,0.0801735271154668,0.996780921541873,0.120098896664528,0.992761932700868,0.159830884482835,0.987144411099731,0.199305514624027,0.979937402000991,0.238459225535838,0.971152510039926,0.277228972406102,0.960803880538925,0.315552328676714,0.94890817673087,0.353367586562093,0.935484552928204,0.390613856410279,0.920554623680903,0.924758866579095,0.0742603365234253,0.000980796897479202,0,0,0,0,0,0,0,0,0,0,0,0.00638686131386861,4.07919974425915e-05
"8",1,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0458465903654106,0.99894849224165,0.091596764639895,0.995796180303733,0.137154309497062,0.990549693547166,0.182423416713175,0.983220065415007,0.22730888465333,0.973822710228951,0.271716318481976,0.962377390772768,0.315552328676714,0.94890817673087,0.358724727427914,0.933443394069383,0.401142722511109,0.916015565466207,0.442717108224452,0.896661341915318,0.912504743437376,0.0861602830077215,0.00133497355490225,0,0,0,0,0,0,0,0,0,0,0,0.0072992700729927,5.32793435984869e-05
"9",1,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0515726108066022,0.998669247456129,0.103007960847154,0.994680531629181,0.154169154675834,0.988044468506625,0.204920026514971,0.978778720004222,0.255125502660958,0.966907946958754,0.3046519609836,0.952463743493078,0.353367586562093,0.935484552928204,0.401142722511109,0.916015565466207,0.44785021506325,0.894108597916271,0.493365751989454,0.869821955783987,0.900332353370447,0.0979240077007013,0.00174363892885191,0,0,0,0,0,0,0,0,0,0,0,0.00821167883211679,6.74316692418349e-05
"10",1,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0572969362990999,0.99835718111843,0.114405615620583,0.993434122181474,0.171138399531068,0.985246998577486,0.22730888465333,0.973822710228951,0.282732515120278,0.959198793209083,0.337227188958679,0.941423296411889,0.390613856410279,0.920554623680903,0.442717108224452,0.896661341915318,0.493365751989454,0.869821955783987,0.542393374608679,0.840124649787524,0.888241696378307,0.109551510602364,0.0022067930193282,0,0,0,0,0,0,0,0,0,0,0,0.00912408759124088,8.32489743726357e-05
